cont_id,transaction_id,payment_date,delivery_date,transaction_date,cont_residency_zip,store_name,prod_id,prod_family,prod_subfamily,prod_style,prod_name,other01,prod_category,prod_color,prod_price_net
100009719,100010047,1/5/2015,1/19/2015,1/5/2015,10011,MADISON,790206431,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG (1/2),STRAIGHT BACK,FABRICS,FABRIC CAT. F1,2610
100009724,100009906,12/6/2014,3/23/2015,12/6/2014,2806,MADISON,790000546,SOFAS,STRAIGHT SOFAS,LES CONTEMPORAINS,POP ART,LARGE 3-SEAT SOFA,LEATHER,LEATHER CAT. C,7500
100009725,100009908,12/6/2014,12/19/2014,12/6/2014,15222,MADISON,790044560,TABLES,DINING TABLES,LES CONTEMPORAINS,MURANO,DINING TABLE,GLASS,MURANO GLASS- AMBER/GOLD,10976
100009726,100009922,12/9/2014,5/7/2015,12/9/2014,11201,MADISON,790051431,TABLES,DINING TABLES,LES CONTEMPORAINS,GLASSBOX (COLLECTION),DINING TABLE - CENTRAL EXTENSION,FINISH,OAK STAINED FINISH,7323.75
100009726,100013137,9/5/2016,10/7/2016,9/5/2016,11201,MADISON,790111602,CHAIRS,CHAIRS,LES CONTEMPORAINS,AMPLITUDE,CHAIR - CHROME-PLATED BASE,FINISH,CHROME-PLATED / LEATHER,2091
100009727,100009911,12/7/2014,4/4/2015,12/7/2014,6437,MADISON,790165996,SOFAS,SECTIONALS,LES CONTEMPORAINS,CARACTERE,LARGE CORNER/MERIDIENNE LEFT,LEATHER,LEATHER CAT. 03,4451.55
100009727,100010124,1/17/2015,5/1/2015,1/17/2015,6437,MADISON,790149904,ACCESSORIES,DECORATIVE OBJECTS,JUST FOR,JEAN COCTEAU - BEDDING SET,EMBROIDERED BED LINEN - LARGE SET ECRU,nan,FABRIC,1688.1
100009727,100010096,1/13/2015,7/18/2015,1/12/2015,6437,MADISON,790153645,COMPLEMENTARY PIECES,CONSOLES,NOUVEAUX CLASSIQUES,MOGAMBO,CONSOLE,FINISH,SOLID LINDEN,3136.5
100009727,100010034,1/3/2015,4/18/2015,1/3/2015,6437,MADISON,790197774,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG LEATHER,SEAT CUSHION,LEATHER,LEATHER CAT. 06,1242
100009727,100009911,12/7/2014,11/7/2015,12/7/2014,6437,MADISON,790062754,COMPLEMENTARY PIECES,END TABLES,LES CONTEMPORAINS,ORION COLLECTION,END TABLE ROTATING TOP,BASE,FONTE BASE- EPOXY LACQUER,1476
